Date,Tweet,Close.
2013-02-12,Obama's plan grows the economy by investing in manufacturing infrastructure clean energy and education w/o raising the deficit. #JobsNow,"1,519.43"
2013-02-12,FACT: In the last three years American manufacturers have added nearly 500000 jobs. #JobsNow,"1,519.43"
2013-02-12,FACT: U.S. businesses have added more than 6.1 million jobs in the last 35 months. #JobsNowpic.twitter.com/r1rr1XaY,"1,519.43"
2013-02-12,"President Obama: Use #JobsNow to ""tweet your support of my plan to create jobs and strengthen the middle class.""","1,519.43"
2013-02-12,We have an obligation to try: #TheyDeserveAVotepic.twitter.com/OJEn963P,"1,519.43"
2013-02-12,RT if you support President Obama's plan to create jobs and grow the middle class. #JobsNowpic.twitter.com/COa4g5On,"1,519.43"
2013-02-12,It remains the task of us all as citizens of these United States to be the authors of the next great chapter in our American story.,"1,519.43"
2013-02-12,"Obama: We may ""hold different views than the person beside us. But as Americans we all share the same proud title: We are citizens."" #SOTU","1,519.43"
2013-02-12,RT if you support the President's plan to reduce gun violence and help protect our kids. #NowIsTheTimepic.twitter.com/nMWlhKA8,"1,519.43"
2013-02-12,"Obama: ""Gabby Giffords deserves a vote. The families of Newtown deserve a vote. The families of Aurora deserve a vote."" #NowIsTheTime","1,519.43"
2013-02-12,"Obama: ""Police chiefs are asking for our help to get weapons of war and massive ammunition magazines off our streets."" #NowIsTheTime","1,519.43"
2013-02-12,Senators of both parties are working together on tough new laws to prevent anyone from buying guns for resale to criminals. #NowIsTheTime,"1,519.43"
2013-02-12,"Obama: ""I know this is not the first time this country has debated how to reduce gun violence. But this time is different."" #NowIsTheTime","1,519.43"
2013-02-12,"President Obama: ""Tonight Iâ€™m announcing a non-partisan commission to improve the voting experience in America."" #SOTU","1,519.43"
2013-02-12,"President Obama: ""We will ensure equal treatment for all service members and equal benefits for their familiesâ€”gay and straight."" #SOTU","1,519.43"
2013-02-12,"Obama: ""As long as Iâ€™m Commander-in-Chief we will do whatever we must to protect those who serve their country abroad."" #SOTU","1,519.43"
2013-02-12,America must remain a beacon to all who seek freedom during this period of historic change. #SOTU,"1,519.43"
2013-02-12,"President Obama on Iran: ""We will do what is necessary to prevent them from getting a nuclear weapon."" #SOTU","1,519.43"
2013-02-12,"President Obama: ""By the end of next year our war in Afghanistan will be over.""","1,519.43"
